Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_11.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
paperTitle                                                                        datasetName                                                                       implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

#phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter                                                                                                                                                                    implemenation of #phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter
$ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning                                                                                                                                                                    implemenation of $ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning
A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for with Mobile Robots using RGB Data                                                                                                                                                                    implemenation of A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for with Mobile Robots using RGB Data
A Markovian Model-Driven Deep Learning Framework for Massive MIMO CSI Feedback                                                                                                                                                                    implemenation of A Markovian Model-Driven Deep Learning Framework for Massive MIMO CSI Feedback
A Mathematical Framework for Deep Learning in Elastic Source Imaging                                                                                                                                                                    implemenation of A Mathematical Framework for Deep Learning in Elastic Source Imaging
A Mathematical Principle of Deep Learning: Learn the Geodesic Curve in the Wasserstein Space                                                                                                                                                                    implemenation of A Mathematical Principle of Deep Learning: Learn the Geodesic Curve in the Wasserstein Space
A Mean-Field Optimal Control Formulation of Deep Learning                                                                                                                                                                    implemenation of A Mean-Field Optimal Control Formulation of Deep Learning
A Mechanism of Implicit Regularization in Deep Learning                                                                                                                                                                    implemenation of A Mechanism of Implicit Regularization in Deep Learning
A Metaprogramming and Autotuning Framework for Deploying Deep Learning Applications                                                                                                                                                                    implemenation of A Metaprogramming and Autotuning Framework for Deploying Deep Learning Applications
A Method for Estimating Reflectance map and Material using Deep Learning with Synthetic Dataset                                                                                                                                                                    implemenation of A Method for Estimating Reflectance map and Material using Deep Learning with Synthetic Dataset
A Methodology for Controlling the Emotional Expressiveness in Synthetic Speech -- a Deep Learning approach                                                                                                                                                                    implemenation of A Methodology for Controlling the Emotional Expressiveness in Synthetic Speech -- a Deep Learning approach
A Mobile App for Wound Localization using Deep Learning                                                                                                                                                                    implemenation of A Mobile App for Wound Localization using Deep Learning
A Mobility-Aware Deep Learning Model for Long-Term COVID-19 Pandemic Prediction and Policy Impact Analysis                                                                                                                                                                    implemenation of A Mobility-Aware Deep Learning Model for Long-Term COVID-19 Pandemic Prediction and Policy Impact Analysis
A Model-Driven Deep Learning Method for Massive MIMO Detection                                                                                                                                                                    implemenation of A Model-Driven Deep Learning Method for Massive MIMO Detection
A Modified da Vinci Surgical Instrument for OCE based Elasticity Estimation with Deep Learning                                                                                                                                                                    implemenation of A Modified da Vinci Surgical Instrument for OCE based Elasticity Estimation with Deep Learning
A Modular Approach for Multilingual Timex Detection and Normalization using Deep Learning and Grammar-based methods                                                                                                                                                                    implemenation of A Modular Approach for Multilingual Timex Detection and Normalization using Deep Learning and Grammar-based methods
A Modular Benchmarking Infrastructure for High-Performance and Reproducible Deep Learning                                                                                                                                                                    implemenation of A Modular Benchmarking Infrastructure for High-Performance and Reproducible Deep Learning
A Modular Deep Learning Pipeline for Galaxy-Scale Strong Gravitational Lens Detection and Modeling                                                                                                                                                                    implemenation of A Modular Deep Learning Pipeline for Galaxy-Scale Strong Gravitational Lens Detection and Modeling
A Modular Neural Network Based Deep Learning Approach for MIMO Signal Detection                                                                                                                                                                    implemenation of A Modular Neural Network Based Deep Learning Approach for MIMO Signal Detection
A Mosquito is Worth 16x16 Larvae: Evaluation of Deep Learning Architectures for Mosquito Larvae Classification                                                                                                                                                                    implemenation of A Mosquito is Worth 16x16 Larvae: Evaluation of Deep Learning Architectures for Mosquito Larvae Classification
A Multi-Policy Framework for Deep Learning-Based Fake News Detection                                                                                                                                                                    implemenation of A Multi-Policy Framework for Deep Learning-Based Fake News Detection
A Multi-Scale Deep Learning Framework for Projecting Weather Extremes                                                                                                                                                                    implemenation of A Multi-Scale Deep Learning Framework for Projecting Weather Extremes
A Multi-Scale Mapping Approach Based on a Deep Learning CNN Model for Reconstructing High-Resolution Urban DEMs                                                                                                                                                                    implemenation of A Multi-Scale Mapping Approach Based on a Deep Learning CNN Model for Reconstructing High-Resolution Urban DEMs
A Multi-Task Deep Learning Approach for Sensor-based Human Activity Recognition and Segmentation                                                                                                                                                                    implemenation of A Multi-Task Deep Learning Approach for Sensor-based Human Activity Recognition and Segmentation
A Multi-Task Deep Learning Framework for Building Footprint Segmentation                                                                                                                                                                    implemenation of A Multi-Task Deep Learning Framework for Building Footprint Segmentation
A Multi-Task Deep Learning Framework to Localize the Eloquent Cortex in Brain Tumor Patients Using Dynamic Functional Connectivity                                                                                                                                                                    implemenation of A Multi-Task Deep Learning Framework to Localize the Eloquent Cortex in Brain Tumor Patients Using Dynamic Functional Connectivity
A Multi-View Deep Learning Approach for Cross Domain User Modeling in Recommendation Systems                                                                                                                                                                    implemenation of A Multi-View Deep Learning Approach for Cross Domain User Modeling in Recommendation Systems
A Multi-label Continual Learning Framework to Scale Deep Learning Approaches for Packaging Equipment Monitoring                                                                                                                                                                    implemenation of A Multi-label Continual Learning Framework to Scale Deep Learning Approaches for Packaging Equipment Monitoring
A Multi-modal Deep Learning Model for Video Thumbnail Selection                                                                                                                                                                    implemenation of A Multi-modal Deep Learning Model for Video Thumbnail Selection
A Multi-site Study of a Breast Density Deep Learning Model for Full-field Digital Mammography Images and Synthetic Mammography Images                                                                                                                                                                    implemenation of A Multi-site Study of a Breast Density Deep Learning Model for Full-field Digital Mammography Images and Synthetic Mammography Images
A Multi-task Deep Learning Architecture for Maritime Surveillance using AIS Data Streams                                                                                                                                                                    implemenation of A Multi-task Deep Learning Architecture for Maritime Surveillance using AIS Data Streams
A Multimodal Deep Learning Model for Cardiac Resynchronisation Therapy Response Prediction                                                                                                                                                                    implemenation of A Multimodal Deep Learning Model for Cardiac Resynchronisation Therapy Response Prediction
A Multitask Deep Learning Approach for User Depression Detection on Sina Weibo                                                                                                                                                                    implemenation of A Multitask Deep Learning Approach for User Depression Detection on Sina Weibo
A Multitask Deep Learning Model for Parsing Bridge Elements and Segmenting Defect in Bridge Inspection Images                                                                                                                                                                    implemenation of A Multitask Deep Learning Model for Parsing Bridge Elements and Segmenting Defect in Bridge Inspection Images
A Natural Language Processing and Deep Learning based Model for Automated Vehicle Diagnostics using Free-Text Customer Service Reports                                                                                                                                                                    implemenation of A Natural Language Processing and Deep Learning based Model for Automated Vehicle Diagnostics using Free-Text Customer Service Reports
A New Deep Learning Architecture withInductive Bias Balance for Transformer Oil Temperature Forecasting                                                                                                                                                                    implemenation of A New Deep Learning Architecture withInductive Bias Balance for Transformer Oil Temperature Forecasting
A New Deep Learning and XAI-Based Algorithm for Features Selection in Genomics                                                                                                                                                                    implemenation of A New Deep Learning and XAI-Based Algorithm for Features Selection in Genomics
A New Multifractal-based Deep Learning Model for Text Mining                                                                                                                                                                    implemenation of A New Multifractal-based Deep Learning Model for Text Mining
A New Pairwise Deep Learning Feature For Environmental Microorganism Image Analysis                                                                                                                                                                    implemenation of A New Pairwise Deep Learning Feature For Environmental Microorganism Image Analysis
A New Paradigm for Device-free Indoor Localization: Deep Learning with Error Vector Spectrum in Wi-Fi Systems                                                                                                                                                                    implemenation of A New Paradigm for Device-free Indoor Localization: Deep Learning with Error Vector Spectrum in Wi-Fi Systems
A New Unified Deep Learning Approach with Decomposition-Reconstruction-Ensemble Framework for Time Series Forecasting                                                                                                                                                                    implemenation of A New Unified Deep Learning Approach with Decomposition-Reconstruction-Ensemble Framework for Time Series Forecasting
A New Variant of Stochastic Heavy ball Optimization Method for Deep Learning                                                                                                                                                                    implemenation of A New Variant of Stochastic Heavy ball Optimization Method for Deep Learning
A No-Reference Deep Learning Quality Assessment Method for Super-resolution Images Based on Frequency Maps                                                                                                                                                                    implemenation of A No-Reference Deep Learning Quality Assessment Method for Super-resolution Images Based on Frequency Maps
A Note on Connectivity of Sublevel Sets in Deep Learning                                                                                                                                                                    implemenation of A Note on Connectivity of Sublevel Sets in Deep Learning
A Novel 3D-UNet Deep Learning Framework Based on High-Dimensional Bilateral Grid for Edge Consistent Single Image Depth Estimation                                                                                                                                                                    implemenation of A Novel 3D-UNet Deep Learning Framework Based on High-Dimensional Bilateral Grid for Edge Consistent Single Image Depth Estimation
A Novel Anomaly Detection Algorithm for Hybrid Production Systems based on Deep Learning and Timed Automata                                                                                                                                                                    implemenation of A Novel Anomaly Detection Algorithm for Hybrid Production Systems based on Deep Learning and Timed Automata
A Novel Approach To Network Intrusion Detection System Using Deep Learning For Sdn: Futuristic Approach                                                                                                                                                                    implemenation of A Novel Approach To Network Intrusion Detection System Using Deep Learning For Sdn: Futuristic Approach
A Novel Approach for Defect Detection of Wind Turbine Blade Using Virtual Reality and Deep Learning                                                                                                                                                                    implemenation of A Novel Approach for Defect Detection of Wind Turbine Blade Using Virtual Reality and Deep Learning
A Novel Co-design Peta-scale Heterogeneous Cluster for Deep Learning Training                                                                                                                                                                    implemenation of A Novel Co-design Peta-scale Heterogeneous Cluster for Deep Learning Training
A Novel Correlation-optimized Deep Learning Method for Wind Speed Forecast                                                                                                                                                                    implemenation of A Novel Correlation-optimized Deep Learning Method for Wind Speed Forecast
A Novel Dataset and a Deep Learning Method for Mitosis Nuclei Segmentation and Classification                                                                                                                                                                    implemenation of A Novel Dataset and a Deep Learning Method for Mitosis Nuclei Segmentation and Classification
A Novel Deep Learning Architecture for Decoding Imagined Speech from EEG                                                                                                                                                                    implemenation of A Novel Deep Learning Architecture for Decoding Imagined Speech from EEG
A Novel Deep Learning Architecture for Testis Histology Image Classification                                                                                                                                                                    implemenation of A Novel Deep Learning Architecture for Testis Histology Image Classification
A Novel Deep Learning Based Approach for Left Ventricle Segmentation in Echocardiography: MFP-Unet                                                                                                                                                                    implemenation of A Novel Deep Learning Based Approach for Left Ventricle Segmentation in Echocardiography: MFP-Unet
A Novel Deep Learning Method for Textual Sentiment Analysis                                                                                                                                                                    implemenation of A Novel Deep Learning Method for Textual Sentiment Analysis
A Novel Deep Learning Method for Thermal to Annotated Thermal-Optical Fused Images                                                                                                                                                                    implemenation of A Novel Deep Learning Method for Thermal to Annotated Thermal-Optical Fused Images
A Novel Deep Learning Model for Hotel Demand and Revenue Prediction amid COVID-19                                                                                                                                                                    implemenation of A Novel Deep Learning Model for Hotel Demand and Revenue Prediction amid COVID-19
A Novel Deep Learning Pipeline for Retinal Vessel Detection in Fluorescein Angiography                                                                                                                                                                    implemenation of A Novel Deep Learning Pipeline for Retinal Vessel Detection in Fluorescein Angiography
A Novel Deep Learning Technique for Morphology Preserved Fetal ECG Extraction from Mother ECG using 1D-CycleGAN                                                                                                                                                                    implemenation of A Novel Deep Learning Technique for Morphology Preserved Fetal ECG Extraction from Mother ECG using 1D-CycleGAN
A Novel Deep Learning based Model for Erythrocytes Classification and Quantification in Sickle Cell Disease                                                                                                                                                                    implemenation of A Novel Deep Learning based Model for Erythrocytes Classification and Quantification in Sickle Cell Disease
A Novel Deep Learning based Model to Defend Network Intrusion Detection System against Adversarial Attacks                                                                                                                                                                    implemenation of A Novel Deep Learning based Model to Defend Network Intrusion Detection System against Adversarial Attacks
A Novel Demodulation and Estimation Algorithm for Blackout Communication: Extract Principal Components with Deep Learning                                                                                                                                                                    implemenation of A Novel Demodulation and Estimation Algorithm for Blackout Communication: Extract Principal Components with Deep Learning
A Novel Ensemble Deep Learning Model for Stock Prediction Based on Stock Prices and News                                                                                                                                                                    implemenation of A Novel Ensemble Deep Learning Model for Stock Prediction Based on Stock Prices and News
A Novel Framework for Spatio-Temporal Prediction of Environmental Data Using Deep Learning                                                                                                                                                                    implemenation of A Novel Framework for Spatio-Temporal Prediction of Environmental Data Using Deep Learning
A Novel Hybrid Deep Learning Approach for Non-Intrusive Load Monitoring of Residential Appliance Based on Long Short Term Memory and Convolutional Neural Networks                                                                                                                                                                    implemenation of A Novel Hybrid Deep Learning Approach for Non-Intrusive Load Monitoring of Residential Appliance Based on Long Short Term Memory and Convolutional Neural Networks
A Novel Hybrid Scheme Using Genetic Algorithms and Deep Learning for the Reconstruction of Portuguese Tile Panels                                                                                                                                                                    implemenation of A Novel Hybrid Scheme Using Genetic Algorithms and Deep Learning for the Reconstruction of Portuguese Tile Panels
A Novel Inspection System For Variable Data Printing Using Deep Learning                                                                                                                                                                    implemenation of A Novel Inspection System For Variable Data Printing Using Deep Learning
A Novel Loss Function Incorporating Imaging Acquisition Physics for PET Attenuation Map Generation using Deep Learning                                                                                                                                                                    implemenation of A Novel Loss Function Incorporating Imaging Acquisition Physics for PET Attenuation Map Generation using Deep Learning
A Novel Memory-Efficient Deep Learning Training Framework via Error-Bounded Lossy Compression                                                                                                                                                                    implemenation of A Novel Memory-Efficient Deep Learning Training Framework via Error-Bounded Lossy Compression
A Novel Method Combines Moving Fronts, Data Decomposition and Deep Learning to Forecast Intricate Time Series                                                                                                                                                                    implemenation of A Novel Method Combines Moving Fronts, Data Decomposition and Deep Learning to Forecast Intricate Time Series
A Novel Multi-task Deep Learning Model for Skin Lesion Segmentation and Classification                                                                                                                                                                    implemenation of A Novel Multi-task Deep Learning Model for Skin Lesion Segmentation and Classification
A Novel Privacy-Preserving Deep Learning Scheme without Using Cryptography Component                                                                                                                                                                    implemenation of A Novel Privacy-Preserving Deep Learning Scheme without Using Cryptography Component
A Novel RL-assisted Deep Learning Framework for Task-informative Signals Selection and Classification for Spontaneous BCIs                                                                                                                                                                    implemenation of A Novel RL-assisted Deep Learning Framework for Task-informative Signals Selection and Classification for Spontaneous BCIs
A Novel SOC Estimation for Hybrid Energy Pack using Deep Learning                                                                                                                                                                    implemenation of A Novel SOC Estimation for Hybrid Energy Pack using Deep Learning
A Novel Site-Agnostic Multimodal Deep Learning Model to Identify Pro-Eating Disorder Content on Social Media                                                                                                                                                                    implemenation of A Novel Site-Agnostic Multimodal Deep Learning Model to Identify Pro-Eating Disorder Content on Social Media
A Novel Solution of an Elastic Net Regularization for Dementia Knowledge Discovery using Deep Learning                                                                                                                                                                    implemenation of A Novel Solution of an Elastic Net Regularization for Dementia Knowledge Discovery using Deep Learning
A Novel Spatial-Temporal Variational Quantum Circuit to Enable Deep Learning on NISQ Devices                                                                                                                                                                    implemenation of A Novel Spatial-Temporal Variational Quantum Circuit to Enable Deep Learning on NISQ Devices
A Novel Speech Intelligibility Enhancement Model based on CanonicalCorrelation and Deep Learning                                                                                                                                                                    implemenation of A Novel Speech Intelligibility Enhancement Model based on CanonicalCorrelation and Deep Learning
A Novel Structured Natural Gradient Descent for Deep Learning                                                                                                                                                                    implemenation of A Novel Structured Natural Gradient Descent for Deep Learning
A Novel Supervised Deep Learning Solution to Detect Distributed Denial of Service (DDoS) attacks on Edge Systems using Convolutional Neural Networks (CNN)                                                                                                                                                                    implemenation of A Novel Supervised Deep Learning Solution to Detect Distributed Denial of Service (DDoS) attacks on Edge Systems using Convolutional Neural Networks (CNN)
A Novel Topology Optimization Approach using Conditional Deep Learning                                                                                                                                                                    implemenation of A Novel Topology Optimization Approach using Conditional Deep Learning
A Novel and Reliable Deep Learning Web-Based Tool to Detect COVID-19 Infection from Chest CT-Scan                                                                                                                                                                    implemenation of A Novel and Reliable Deep Learning Web-Based Tool to Detect COVID-19 Infection from Chest CT-Scan
A PNP ion channel deep learning solver with local neural network and finite element input data                                                                                                                                                                    implemenation of A PNP ion channel deep learning solver with local neural network and finite element input data
A Pathology Deep Learning System Capable of Triage of Melanoma Specimens Utilizing Dermatopathologist Consensus as Ground Truth                                                                                                                                                                    implemenation of A Pathology Deep Learning System Capable of Triage of Melanoma Specimens Utilizing Dermatopathologist Consensus as Ground Truth
A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning                                                                                                                                                                    implemenation of A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning
A Personalized Markov Clustering and Deep Learning Approach for Arabic Text Categorization                                                                                                                                                                    implemenation of A Personalized Markov Clustering and Deep Learning Approach for Arabic Text Categorization
A Perspective on Deep Learning for Molecular Modeling and Simulations                                                                                                                                                                    implemenation of A Perspective on Deep Learning for Molecular Modeling and Simulations
A Physics-Constrained Deep Learning Model for Simulating Multiphase Flow in 3D Heterogeneous Porous Media                                                                                                                                                                    implemenation of A Physics-Constrained Deep Learning Model for Simulating Multiphase Flow in 3D Heterogeneous Porous Media
A Physics-Informed Deep Learning Paradigm for Car-Following Models                                                                                                                                                                    implemenation of A Physics-Informed Deep Learning Paradigm for Car-Following Models
A Physics-Informed Deep Learning Paradigm for Traffic State and Fundamental Diagram Estimation                                                                                                                                                                    implemenation of A Physics-Informed Deep Learning Paradigm for Traffic State and Fundamental Diagram Estimation
A Physics-embedded Deep Learning Framework for Cloth Simulation                                                                                                                                                                    implemenation of A Physics-embedded Deep Learning Framework for Cloth Simulation
A Physics-informed Deep Learning Approach for Minimum Effort Stochastic Control of Colloidal Self-Assembly                                                                                                                                                                    implemenation of A Physics-informed Deep Learning Approach for Minimum Effort Stochastic Control of Colloidal Self-Assembly
A Pilot Study For Fragment Identification Using 2D NMR and Deep Learning                                                                                                                                                                    implemenation of A Pilot Study For Fragment Identification Using 2D NMR and Deep Learning
A Pipeline for Vision-Based On-Orbit Proximity Operations Using Deep Learning and Synthetic Imagery                                                                                                                                                                    implemenation of A Pipeline for Vision-Based On-Orbit Proximity Operations Using Deep Learning and Synthetic Imagery
A Point Cloud-Based Deep Learning Strategy for Protein-Ligand Binding Affinity Prediction                                                                                                                                                                    implemenation of A Point Cloud-Based Deep Learning Strategy for Protein-Ligand Binding Affinity Prediction
A Point-Cloud Deep Learning Framework for Prediction of Fluid Flow Fields on Irregular Geometries                                                                                                                                                                    implemenation of A Point-Cloud Deep Learning Framework for Prediction of Fluid Flow Fields on Irregular Geometries
A Portable, Self-Contained Neuroprosthetic Hand with Deep Learning-Based Finger Control                                                                                                                                                                    implemenation of A Portable, Self-Contained Neuroprosthetic Hand with Deep Learning-Based Finger Control
A Practical Deep Learning-Based Acoustic Side Channel Attack on Keyboards                                                                                                                                                                    implemenation of A Practical Deep Learning-Based Acoustic Side Channel Attack on Keyboards
A Practical PAC-Bayes Generalisation Bound for Deep Learning                                                                                                                                                                    implemenation of A Practical PAC-Bayes Generalisation Bound for Deep Learning
A Precision Diagnostic Framework of Renal Cell Carcinoma on Whole-Slide Images using Deep Learning                                                                                                                                                                    implemenation of A Precision Diagnostic Framework of Renal Cell Carcinoma on Whole-Slide Images using Deep Learning
A Preliminary Study of Deep Learning Sensor Fusion for Pedestrian Detection                                                                                                                                                                    implemenation of A Preliminary Study of Deep Learning Sensor Fusion for Pedestrian Detection
A Preliminary Study on Data Augmentation of Deep Learning for Image Classification                                                                                                                                                                    implemenation of A Preliminary Study on Data Augmentation of Deep Learning for Image Classification
A Preliminary Study on Deep Learning-based Chinese Text to Taiwanese Speech Synthesis System                                                                                                                                                                    implemenation of A Preliminary Study on Deep Learning-based Chinese Text to Taiwanese Speech Synthesis System
A Primal Dual Formulation For Deep Learning With Constraints                                                                                                                                                                    implemenation of A Primal Dual Formulation For Deep Learning With Constraints
A Primer on Deep Learning for Causal Inference                                                                                                                                                                    implemenation of A Primer on Deep Learning for Causal Inference
A Primer on Motion Capture with Deep Learning: Principles, Pitfalls and Perspectives                                                                                                                                                                    implemenation of A Primer on Motion Capture with Deep Learning: Principles, Pitfalls and Perspectives
A Principled Hierarchical Deep Learning Approach to Joint Image Compression and Classification                                                                                                                                                                    implemenation of A Principled Hierarchical Deep Learning Approach to Joint Image Compression and Classification
A Probabilistic Framework for Deep Learning                                                                                                                                                                    implemenation of A Probabilistic Framework for Deep Learning
A Probabilistic Representation for Deep Learning: Delving into The Information Bottleneck Principle                                                                                                                                                                    implemenation of A Probabilistic Representation for Deep Learning: Delving into The Information Bottleneck Principle
A Probabilistic Representation of Deep Learning                                                                                                                                                                    implemenation of A Probabilistic Representation of Deep Learning
A Probabilistic Representation of Deep Learning for Improving The Information Theoretic Interpretability                                                                                                                                                                    implemenation of A Probabilistic Representation of Deep Learning for Improving The Information Theoretic Interpretability
A Probabilistic Theory of Deep Learning                                                                                                                                                                    implemenation of A Probabilistic Theory of Deep Learning
A Proposed Hierarchy of Deep Learning Tasks                                                                                                                                                                    implemenation of A Proposed Hierarchy of Deep Learning Tasks
A Provably Correct Algorithm for Deep Learning that Actually Works                                                                                                                                                                    implemenation of A Provably Correct Algorithm for Deep Learning that Actually Works
A QMC-deep learning method for diffusivity estimation in random domains                                                                                                                                                                    implemenation of A QMC-deep learning method for diffusivity estimation in random domains
A Quadratic Synchronization Rule for Distributed Deep Learning                                                                                                                                                                    implemenation of A Quadratic Synchronization Rule for Distributed Deep Learning
A Quantitative Survey of Communication Optimizations in Distributed Deep Learning                                                                                                                                                                    implemenation of A Quantitative Survey of Communication Optimizations in Distributed Deep Learning
A Quantitative and Qualitative Analysis of Suicide Ideation Detection using Deep Learning                                                                                                                                                                    implemenation of A Quantitative and Qualitative Analysis of Suicide Ideation Detection using Deep Learning
A Random Matrix Perspective on Mixtures of Nonlinearities for Deep Learning                                                                                                                                                                    implemenation of A Random Matrix Perspective on Mixtures of Nonlinearities for Deep Learning
A Random Matrix Theory Approach to Damping in Deep Learning                                                                                                                                                                    implemenation of A Random Matrix Theory Approach to Damping in Deep Learning
A Ray-tracing and Deep Learning Fusion Super-resolution Modeling Method for Wireless Mobile Channel                                                                                                                                                                    implemenation of A Ray-tracing and Deep Learning Fusion Super-resolution Modeling Method for Wireless Mobile Channel
A Real-Time Deep Learning Pedestrian Detector for Robot Navigation                                                                                                                                                                    implemenation of A Real-Time Deep Learning Pedestrian Detector for Robot Navigation
A Real-time Fire Segmentation Method Based on A Deep Learning Approach                                                                                                                                                                    implemenation of A Real-time Fire Segmentation Method Based on A Deep Learning Approach
A Recent Survey of the Advancements in Deep Learning Techniques for Monkeypox Disease Detection                                                                                                                                                                    implemenation of A Recent Survey of the Advancements in Deep Learning Techniques for Monkeypox Disease Detection
A Refined Deep Learning Architecture for Diabetic Foot Ulcers Detection                                                                                                                                                                    implemenation of A Refined Deep Learning Architecture for Diabetic Foot Ulcers Detection
A Region-Based Deep Learning Approach to Automated Retail Checkout                                                                                                                                                                    implemenation of A Region-Based Deep Learning Approach to Automated Retail Checkout
A Residual Network based Deep Learning Model for Detection of COVID-19 from Cough Sounds                                                                                                                                                                    implemenation of A Residual Network based Deep Learning Model for Detection of COVID-19 from Cough Sounds
A Review On Table Recognition Based On Deep Learning                                                                                                                                                                    implemenation of A Review On Table Recognition Based On Deep Learning
A Review and Roadmap of Deep Learning Causal Discovery in Different Variable Paradigms                                                                                                                                                                    implemenation of A Review and Roadmap of Deep Learning Causal Discovery in Different Variable Paradigms
